allow_mp_options_title;Enable MP Features;Options multijoueur;Mehrspieleroptionen;;Permitir Características MP;;;;;;;;x
fra_title;Drive the English out of France;;;;;;;;;;;;;
fra_desc;French territory belongs only to the French.;;;;;;;;;;;;;
AUS_title;Take the Bohemian Crown;;;;;;;;;;;;;
AUS_desc;Take the Bohemian Crowna;;;;;;;;;;;;;
AUS_BOH_title;Form Austria-Bohemia;;;;;;;;;;;;;
AUS_BOH_desc;Unite the two Habsburg houses;;;;;;;;;;;;;
AUS_hun_title;Activate the integration of Hungary;;;;;;;;;;;;;
AUS_hun_desc;Activate the integration of Hungary;;;;;;;;;;;;;
AUS_hun_2_title;Deactivate the integration of Hungary;;;;;;;;;;;;;
AUS_hun_2_desc;Deactivate the integration of Hungary;;;;;;;;;;;;;
aus_slk_title;Integrate Slovakia;;;;;;;;;;;;;
aus_slk_desc;Integrate Slovakia;;;;;;;;;;;;;
aus_slv_title;Integrate Slovenia;;;;;;;;;;;;;
aus_slv_desc;Integrate Slovenia;;;;;;;;;;;;;
aus_cro_title;Integrate Croatia;;;;;;;;;;;;;
aus_cro_desc;Integrate Croatia;;;;;;;;;;;;;
aus_643_title;Integrate the Center of Hungary;;;;;;;;;;;;;
aus_643_desc;Integrate the Center of Hungary;;;;;;;;;;;;;
aus_budapest_title;Integrate Budapest;;;;;;;;;;;;;
aus_budapest_desc;Integrate Budapest;;;;;;;;;;;;;
aus_north_serb_title;Integrate Northern Serbia;;;;;;;;;;;;;
aus_north_serb_desc;Integrate Northern Serbia;;;;;;;;;;;;;
aus_tras_title;Integrate Transylvania;;;;;;;;;;;;;
aus_tras_desc;Integrate Transylvania;;;;;;;;;;;;;
polonia_LIT_title;Form Poland Lithuania;;;;;;;;;;;;;
polonia_LIT_desc;We need to finally unite the two crowns.;;;;;;;;;;;;;
maz_title;Integrate Mazovia;;;;;;;;;;;;;
maz_desc;Integrate Mazovia;;;;;;;;;;;;;
bohemia_inte_pol_title;Integrate the Bohemian State;;;;;;;;;;;;;
bohemia_inte_pol_desc;They must finally unite with the Polish crown.;;;;;;;;;;;;;
hungria_inte_pol_title;Integrate the Hungarian State;;;;;;;;;;;;;
hungria_inte_pol_desc;They must finally unite with the Polish crown.;;;;;;;;;;;;;
hungria_inte_plc_title;Integrate the Hungarian State;;;;;;;;;;;;;
hungria_inte_plc_desc;Integrate the Hungarian State;;;;;;;;;;;;;
bohemia_inte_plc_title;Integrate the Bohemian State;;;;;;;;;;;;;
bohemia_inte_plc_desc;They must finally unite with the Polish crown.;;;;;;;;;;;;;
pol_teu_title;Regain control of the Teutonic Order;;;;;;;;;;;;;
pol_teu_desc;The Teutons must become our subjects again;;;;;;;;;;;;;
polonia_boh_path_2_title;Restructuring the Bohemian State;;;;;;;;;;;;;
polonia_boh_path_2_desc;Restructuring the Bohemian State;;;;;;;;;;;;;
sucecion_borgona_title;Succession of Burgundy;;;;;;;;;;;;;
sucecion_borgona_desc;The Bourbon king died, we have claims to put our king on the Bourbon throne.;;;;;;;;;;;;;
duth_borgona_title;Accept the Dutch;;;;;;;;;;;;;
duth_borgona_desc;Accept the Dutch;;;;;;;;;;;;;
femish_borgona_title;Accept the flemish;;;;;;;;;;;;;
femish_borgona_desc;Accept the flemish;;;;;;;;;;;;;
suecia_title;Declare Swedish independence;;;;;;;;;;;;;
suecia_desc;Declare Swedish independence;;;;;;;;;;;;;
reclam_swe_cron_title;Claim the Norwegian Crown;;;;;;;;;;;;;
reclam_swe_cron_desc;Claim the Norwegian Crown;;;;;;;;;;;;;
Kaiser_aus_title;Imperial Alliance;;;;;;;;;;;;;
Kaiser_aus_desc;All countries within the empire that have 100 or more relations will ally with you.;;;;;;;;;;;;;
enforce_military_access_title;Request imperial access;;;;;;;;;;;;;
enforce_military_access_desc;Request imperial access;;;;;;;;;;;;;
end_enforce_military_access_title;Imperial Access Terminal;;;;;;;;;;;;;
end_enforce_military_access_desc;Imperial Access Terminal;;;;;;;;;;;;;
Kaiser_title;Crown yourself as Holy Emperor;;;;;;;;;;;;;
Kaiser_desc;Our country deserves to be a holy emperor;;;;;;;;;;;;;
Exit_empire_title;Leave the Empire;;;;;;;;;;;;;
Exit_empire_desc;Leave the Empire.;;;;;;;;;;;;;
Destroy_Empire_title;Destroy the Holy Roman Empire;;;;;;;;;;;;;
Destroy_Empire_desc;The Holy Roman Empire should never have existed;;;;;;;;;;;;;
abandonar_calais_title;Leave Calais;;;;;;;;;;;;;
abandonar_calais_desc;Having lost the Hundred Years' War, we cannot defend Calais;;;;;;;;;;;;;
Kalmar_title;Form the Kalmar Union;;;;;;;;;;;;;
Kalmar_desc;Form the Kalmar Union;;;;;;;;;;;;;
abandonar_calais_title;Integrate Holstein;;;;;;;;;;;;;
abandonar_calais_desc;Integrate Holstein;;;;;;;;;;;;;
JAGG_title;Form the Jagiellonian crown;;;;;;;;;;;;;
JAGG_desc;Now that we have integrated Bohemia and Hungary, we can be one nation.;;;;;;;;;;;;;
India_form_title;Form Bharat;;;;;;;;;;;;;
India_form_desc;We must unite the peoples of India into one nation.;;;;;;;;;;;;;
den_swe_title;Take the crown of Denmark;;;;;;;;;;;;;
den_swe_desc;After so much time of tyranny, the roles are reversed.;;;;;;;;;;;;;
nov_title;Expand in Russia;;;;;;;;;;;;;
nov_desc;The great Swedish empire must enter Russia;;;;;;;;;;;;;
baltico_orden_title;Join the cross orders;;;;;;;;;;;;;
baltico_orden_desc;We must unite with our brothers in the north to fight against heresy. (It won't be possible to form Prussia.);;;;;;;;;;;;;
baltico_title;Take the Baltic;;;;;;;;;;;;;
baltico_desc;We need to meet with our Baltic brothers;;;;;;;;;;;;;
pomeramia_sca_title;Take the Pomeranian;;;;;;;;;;;;;
pomeramia_sca_desc;The Scandinavian splendor must extend across northern Germany;;;;;;;;;;;;;
expancion_rus_title;Expand east;;;;;;;;;;;;;
expancion_rus_desc;We must put an end to the treaties and the Mongol hordes of the east;;;;;;;;;;;;;
baltico_rus_title;Control the Baltic;;;;;;;;;;;;;
baltico_rus_desc;We need to expand into the Baltic Sea;;;;;;;;;;;;;
expancion_rus_2_title;integrate the Belarusians;;;;;;;;;;;;;
expancion_rus_2_desc;integrate the Belarusians;;;;;;;;;;;;;
ORI_GOLD_title;Expand the khanate;;;;;;;;;;;;;
ORI_GOLD_desc;We must unite the Mongolian peoples and return to the steppes;;;;;;;;;;;;;
conolizar_brazil_title;Send an expedition to the coasts of Brazil;;;;;;;;;;;;;
conolizar_brazil_desc;We have received reports that there is a new world we have to colonize (once you choose a place to colonize you will not be able to take the others);;;;;;;;;;;;;
cuba_title;Send an expedition to the coasts of Cuba;;;;;;;;;;;;;
cuba_desc;We have received reports that there is a new world we have to colonize (once you choose a place to colonize you will not be able to take the others);;;;;;;;;;;;;
usa_title;Send an expedition to the coasts of Usa;;;;;;;;;;;;;
usa_desc;We have received reports that there is a new world we have to colonize (once you choose a place to colonize you will not be able to take the others);;;;;;;;;;;;;
canada_title;Send an expedition to the coasts of Canada;;;;;;;;;;;;;
canada_desc;We have received reports that there is a new world we have to colonize (once you choose a place to colonize you will not be able to take the others);;;;;;;;;;;;;
mex_title;Send an expedition to the coasts of Mexico;;;;;;;;;;;;;
mex_desc;We have received reports that there is a new world we have to colonize (once you choose a place to colonize you will not be able to take the others);;;;;;;;;;;;;
california_title;Send an expedition to the coasts of California;;;;;;;;;;;;;
california_desc;We have received reports that there is a new world we have to colonize (once you choose a place to colonize you will not be able to take the others);;;;;;;;;;;;;
buenos_aires_title;Send an expedition to the coasts of Buenos aires;;;;;;;;;;;;;
buenos_aires_desc;We have received reports that there is a new world we have to colonize (once you choose a place to colonize you will not be able to take the others);;;;;;;;;;;;;
hanover_form_title;To form the kingdom of Hanover;;;;;;;;;;;;;
hanover_form_desc;To form the kingdom of Hanover;;;;;;;;;;;;;
abandonar_iberia_title;Italian coup d'etat;;;;;;;;;;;;;
abandonar_iberia_desc;Since the Kingdom of Aragon fell, the Italians in our territory are demanding a change.;;;;;;;;;;;;;
enabled_conolizar_title;Activate colonization decisions;;;;;;;;;;;;;
enabled_conolizar_desc;Activate colonization decisions;;;;;;;;;;;;;
desactivar_conolizar_title;Deactivate colonization decisions;;;;;;;;;;;;;
desactivar_conolizar_desc;Deactivate colonization decisions;;;;;;;;;;;;;
Arles_title;To form the Kingdom of Arles;;;;;;;;;;;;;
Arles_desc;To form the Kingdom of Arles;;;;;;;;;;;;;
Aquitania_title;Form Aquitaine;;;;;;;;;;;;;
Aquitania_desc;Form Aquitaine;;;;;;;;;;;;;
Francia_media_title;Form Middle France;;;;;;;;;;;;;
Francia_media_desc;Form Middle France (It cannot be formed if you accept the Dutch);;;;;;;;;;;;;
BRY_title;Integrate Brittany into the same country;;;;;;;;;;;;;
BRY_desc;It is time to unite our houses into a single crown.;;;;;;;;;;;;;
BRY_puppet_title;Personal union with Brittany;;;;;;;;;;;;;
BRY_puppet_desc;It is time to unite our houses into a single crown. (Puppeting Brittany is an intermediate decision; annexing is not mandatory, and choosing one does not cancel out the other.);;;;;;;;;;;;;
fra_bar_title;To reclaim the Principality of Catalonia;;;;;;;;;;;;;
fra_bar_desc;Catalonia is legitimate territory of the French Crown.;;;;;;;;;;;;;
mughal_title;To form the Mughal Empire;;;;;;;;;;;;;
mughal_desc;We must break away from our Mongol origins and form our own empire.;;;;;;;;;;;;;
ath_annex_title;Annex Athens;;;;;;;;;;;;;
ath_annex_desc;Glory to the Emperor;;;;;;;;;;;;;
costa_mali_title;Reclaiming the coast;;;;;;;;;;;;;
costa_mali_desc;This is to prevent exploits targeting the Americas.;;;;;;;;;;;;;
dua_bre_title;Integrate the Duchy of Brittany;;;;;;;;;;;;;
dua_bre_desc;For a long time, they were reluctant to join the union, but we can finally integrate them;;;;;;;;;;;;;
mali_mor_title;Integrate the peoples of the north;;;;;;;;;;;;;
mali_mor_desc;For a long time, the northern peoples only traded with us; now it is time for them to formally join the empire.;;;;;;;;;;;;;
mali_conolizar_title;Centralize Mali;;;;;;;;;;;;;
mali_conolizar_desc;There are many peoples to the south of our country that are not yet under our influence; we should launch a conquest expedition.;;;;;;;;;;;;;
mali_core_title;Form the Mali Empire;;;;;;;;;;;;;
mali_core_desc;Now that we have finished off all our enemies, it is time to integrate them into a new empire.;;;;;;;;;;;;;
mali_ibe_title;To launch a jihad to liberate the Andalusians.;;;;;;;;;;;;;
mali_ibe_desc;For a long time, the Andalusians were under Christian rule; they must return to following the word of Allah.;;;;;;;;;;;;;
dutch_form_title;Form the Netherlands;;;;;;;;;;;;;
dutch_form_desc;It is time to finally unite the Dutch in a home of their own, rather than a French one.;;;;;;;;;;;;;
usa_misipi_title;Colonize Mississippi;;;;;;;;;;;;;
usa_misipi_desc;Send settlers to the Mississippi coast.;;;;;;;;;;;;;
alaska_title;Colonizing Alaska;;;;;;;;;;;;;
alaska_desc;Send settlers to the Alaska coast.;;;;;;;;;;;;;
patagonia_title;Colonizing Patagonia;;;;;;;;;;;;;
patagonia_desc;Send settlers to the Patagonia coast.;;;;;;;;;;;;;
fra_nav_title;Integrate the people of Navarre;;;;;;;;;;;;;
fra_nav_desc;The Basques cannot protect themselves from the Iberian kingdoms; they need our protection.;;;;;;;;;;;;;
conquest_lit_title;Conquer Lithuania;;;;;;;;;;;;;
conquest_lit_desc;The Lithuanians were spared the crusade for a long time, but it is time for them to be integrated into a crusading administration.;;;;;;;;;;;;;
